ASIN,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size,PurchasemModel_Color,页面网址
,"







  
  
    Amazing cooling power
  
",5.0 颗星，最多 5 颗星,Sparty,2022年10月30日 在美国审核,"







  
  
    Great product! Energy efficiency is excellent. Rebates might be available through your local power company. My power company gave me a $25 rebate towards my electric bill for this AC unit because it met all the qualifications. The window slider between the inside and outside of the room is pretty thin. I put some insulation and reflective material there to give it more of an R-Value as you can see in the picture. It cools the master bedroom just fine in the deep south which has high humidity. Master bedroom is around 16 feet by 12 feet. It is not loud or noisy, but you can hear it. You will need to buy a bracket of some sort to help hold it in position or else you will risk it falling out onto the ground.
  
",颜色: 白色尺寸: 6000 BTU,颜色: 白色尺寸: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    Keeps me cool
  
",5.0 颗星，最多 5 颗星,skylab,2022年10月30日 在美国审核,"







  
  
    It works well, my room is 14x14 and it cools the whole room.. My only complaint is it needs a remote control but with a smart socket and Alexa I do it.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=7
,"







  
  
    Great Fan!
  
",5.0 颗星，最多 5 颗星,Sylvia Groom,2022年10月29日 在美国审核,"







  
  
    Really cools a bedroom down in minutes, very happy with this purchase.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Did what it said. Easy to install and cooled a small bedroom.
  
",5.0 颗星，最多 5 颗星,SGM HORNE,2022年10月28日 在美国审核,"







  
  
    I used it to cool 300 sf loft. It did the job fine. Not very noisy. I am 72, and it was light enough I could install it myself.
  
",颜色: 白色尺寸: 6000 BTU,颜色: 白色尺寸: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    **PERFECT CITY APARTMENT AC**
  
",5.0 颗星，最多 5 颗星,Leah D,2022年10月27日 在美国审核,"







  
  
    This was very easy to install, has stayed secure, and has been a game changer during the summer. We’ve had this thing running on full blast since the beginning of august and it’s still going strong. It cools a small bedroom very well and if the bedroom door is left open can even cool the adjacent rooms to a livable temperature. Would recommend again and again. Life saver!
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Waste of money
  
",2.0 颗星，最多 5 颗星,Shannon,2022年10月26日 在美国审核,"







  
  
    Didn’t even make it through a full summer in New York, it just takes all that energy to blow warm air now. It was not cheap, it should have lasted longer than a couple months.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Difficulty installing
  
",2.0 颗星，最多 5 颗星,Michael A. Vincent,2022年10月26日 在美国审核,"







  
  
    The AC unit did not fit in my vinyl window frame because the window sash is not déep enough. After modifying the sash, I ran the unit all day and night. It cooled the room some but it did not dehumidify. I returned the AC and purchased a different model which worked fine.
  
",颜色: 白色尺寸: 6000 BTU,颜色: 白色尺寸: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Stopped working after 6 months
  
",1.0 颗星，最多 5 颗星,Clovis,2022年10月26日 在美国审核,"







  
  
    Won't get cold after 6 months. Never ran all day only at night. Blows but not cold air now. Air filter is clean n etc.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Used it for a month
  
",4.0 颗星，最多 5 颗星,Dah!,2022年10月23日 在美国审核,"







  
  
    Used it for a month during mid-summer. As a/c's go, this was fairly quiet, especially for a 12,000btu unit.  Its performance and ease-of-use were good, overall. I also think it was a good value.However, at the end of July, it quit on us.  Their warranty process took a few weeks but, in the end, they made it right. Overall, I was pleased at this.I would buy another Midea a/c like this someday.
  
",颜色: 白色尺寸: 12000 BTU,颜色: 白色尺寸: 12000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    Work as expected
  
",5.0 颗星，最多 5 颗星,P.J.S.,2022年10月21日 在美国审核,"







  
  
    Works Great in 12'x14' bedroom
  
",颜色: 白色尺寸: 6000 BTU,颜色: 白色尺寸: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    I got it the very next day
  
",5.0 颗星，最多 5 颗星,Renee  Davidson,2022年10月20日 在美国审核,"







  
  
    My air conditioner quit working and we were having triple digit weather. So it was wonderful that I got it the very next day and it was small enough for a 65 year old woman to install. I have concerns about it not having a removable filter in the front to clean. So it may not last long under heavy use. It got us through the hot spell 😅 ! I have a small trailer that I use for company as an extra room and it will fit in that window just perfect
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    It kept our bedroom cold
  
",5.0 颗星，最多 5 颗星,Jessica,2022年10月20日 在美国审核,"







  
  
    I love that it kept our bedroom cold especially in the heat over 100 degrees. I really love it
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=8
,"







  
  
    It helps so much...and saves my ears.
  
",5.0 颗星，最多 5 颗星,AHTenore,2022年10月20日 在美国审核,"







  
  
    I use the unit for two purposes:1. To keep my LOUD central unit from running so often.2. To keep my bedroom frosty for better quality sleep.By running the unit in my bedroom, it prevents the central AC from coming on nearly as often. The hum of the AC in the background is just fine.When I go to bed, I turn the thermostat on the central unit up and shut the bedroom door.  It is delightfully cold.I recommend this unit.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Okay
  
",3.0 颗星，最多 5 颗星,Korina bernal,2022年10月19日 在美国审核,"







  
  
    This works OK did buy for my garage I believe it’s too small it cools down a little but it takes a long time to cool a whole room have in mind yes it is the garage so maybe that’s why but they should’ve bought a bigger AC this AC would work perfect for like a very small room or like a doghouse
  
",颜色: 白色尺寸: 8000 BTU,颜色: 白色尺寸: 8000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    meh
  
",3.0 颗星，最多 5 颗星,princesspink,2022年10月19日 在美国审核,"







  
  
    got 2 one didnt work but other one rocks so thats my honest opinion
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Fit for an Ice Queen
  
",5.0 颗星，最多 5 颗星,Rachael Bourgeois,2022年10月17日 在美国审核,"







  
  
    This little AC works so well, I damn near have a sentimental attachment to it.  I used it for my bedroom, and it would get ice cold within minutes.  I slept like Elsa in her ice castle all summer in the Texas heat.  I even woke up chilly in the mornings!  I didn’t notice a huge jump in utilities.. honestly it probably saved money .  Instead of my house AC running all day trying to keep up with the Texas heat, I’d turn this this little bad boy on and bump up my house AC so it didn’t have to work so hard.  I don’t need it cold in the entire house, only my room.  Anyways, I’d give this AC 10 stars if I could.  Easy to clean filter too.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Very cold
  
",5.0 颗星，最多 5 颗星,yum1965,2022年10月17日 在美国审核,"







  
  
    Love this a/c! Works so good. Set on eco and adjust the temp and you don't have to touch it again.
  
",颜色: 白色尺寸: 12000 BTU,颜色: 白色尺寸: 12000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Meh
  
",3.0 颗星，最多 5 颗星,Chuchip,2022年10月17日 在美国审核,"







  
  
    Doesn’t work that well even for a small bedroom
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Good
  
",5.0 颗星，最多 5 颗星,Neo,2022年10月17日 在美国审核,"







  
  
    I very much like the air conditioner. Its a good product.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Never again
  
",1.0 颗星，最多 5 颗星,Amazon user,2022年10月15日 在美国审核,"







  
  
    Never again will I buy this product. We are devistated because the ac unit caught my place on fire 7/27/22 only a year after having it. (Ac is on the floor). House is condemned now and I lost all my animals due to this.... The fire marshal said that the unit shorted and caught fire.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Don’t buy this item - stopped blowing cold air after 2 months
  
",1.0 颗星，最多 5 颗星,Amazon Customer,2022年10月13日 在美国审核,"







  
  
    We purchased it to only cool off the master bedroom. A unit of this size should be able to cool The entire first floor. It was week from the start but it was already installed so we settled for it. Should’ve went with my gut in the beginning and returned it because after two months it stopped blowing cold air. It’s past my return window now so I basically donated money.
  
",颜色: 白色尺寸: 12000 BTU,颜色: 白色尺寸: 12000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Noisy,  but works fine
  
",3.0 颗星，最多 5 颗星,Linda Carmichael,2022年10月9日 在美国审核,"







  
  
    Not as quiet as I hoped.  But works fine.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=9
,"







  
  
    Worked until the end of the summer.
  
",2.0 颗星，最多 5 颗星,Benji,2022年10月9日 在美国审核,"







  
  
    Worked great for the summer. We've had a few hot weeks this fall and it just doesnt work anymore. Only the fan works. For a bit it was off and on now its useless. Bought the 10,000 BTU model and it still works fine. Most modern appliances are junk now.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Too noisy
  
",3.0 颗星，最多 5 颗星,Elaine Pruchnicki,2022年10月8日 在美国审核,"







  
  
    Too noisy
  
",颜色: 白色尺寸: 8000 BTU,颜色: 白色尺寸: 8000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Quiet and Effective
  
",5.0 颗星，最多 5 颗星,Amazon Customer,2022年10月6日 在美国审核,"







  
  
    This is a very good air conditioner for very small rooms.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Read the reviews but..
  
",5.0 颗星，最多 5 颗星,No name,2022年10月6日 在美国审核,"







  
  
    Read all the reviews but still gave it a try! I must say I do not have the same issues as everyone else. For the price I got and next day delivery on a flash deal was the best pick of the summer! It isn’t super quite but I’m okay with that. It got my  bedroom and hallway cold within a few minutes..  BEST purchase when we hit that 2 week heat wave in California! Thinking about buying another for my living room
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Efficent, Effective, but loud
  
",4.0 颗星，最多 5 颗星,Morris Koser,2022年10月5日 在美国审核,"







  
  
    We replaced an old window unit with this one and saw our power bill drop while this unit did a better job than the one it replaced.The only complaint is that the unit is a bit loud.
  
",颜色: 白色尺寸: 10000 BTU,颜色: 白色尺寸: 10000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Awesome AC!
  
",5.0 颗星，最多 5 颗星,J. A. Rocha,2022年10月5日 在美国审核,"







  
  
    Like this little unit for the small space I need to cool down. Easy to install and it gets the job done!
  
",颜色: 白色尺寸: 6000 BTU,颜色: 白色尺寸: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Its fine for small.room
  
",3.0 颗星，最多 5 颗星,Tara Smyth,2022年10月4日 在美国审核,"







  
  
    I've had it for a yr now it came a week late so Amazon gave it to me only to have company try and charge me for not returning it, which Amazon don't allow you to return ac. Its definitely noisy and compressor kicks off and on alot. Which if it was cool outside I would understand 🤔 but it does this when it's 85 outside. But it serves its purpose
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Cools my 120 sq ft art studio very well.
  
",5.0 颗星，最多 5 颗星,Cindy,2022年10月2日 在美国审核,"







  
  
    Installation was so simple and it cools my studio very quickly.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Cools great
  
",5.0 颗星，最多 5 颗星,David Larson,2022年10月2日 在美国审核,"







  
  
    We're able to cool our entire downstairs with this unit. Admittedly, we rarely get over 90 degrees in Western Washington, but works for us and is reasonably quiet.
  
",颜色: 白色尺寸: 12000 BTU,颜色: 白色尺寸: 12000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Life saver!
  
",5.0 颗星，最多 5 颗星,KC,2022年10月1日 在美国审核,"







  
  
    Took them (I bought 2) out of their boxes, plugged them in and cool! I am totally satisfied. 👍
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=10
,"







  
  
    Broken parts
  
",3.0 ,Michael Heitkamp,"Reviewed in the United States April 11, 2023","







  
  
    I unboxed my brand new Midea AC unit a half hour ago and immediately noticed that the side sliding window adapter piece is broken. I haven't even started to install this yet as I'm going to have to glue this together before I can even start to install the unit. So, I can't attest to how the unit works as I can't even use it yet.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Great AC with a terrible DUO hose design
  
",2.0 ,gragus,"Reviewed in the United States April 11, 2023","







  
  
    The AC itself is great. But the 2-in-1 hose design is terrible. It does not work for locations where the openings are already there, because they are, naturally, made for 2 separate ""normal"" hoses. For people who want to use their existing wall-with-openings setup, this is a deal-breaker.If there is any way to get or make an adapter from this DUO thingy to 2 normal hoses, please provide a pointer!
  
","Color: BlackSize: 12,000 BTU","Color: BlackSize: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Stay Cool Anywhere, Anytime
  
",3.0 ,Mister Blue Sky,"Reviewed in the United States April 7, 2023","







  
  
    Summer can be brutal, especially when you don't have access to air conditioning. But fear not, because the Midea Duo 14,000 BTU Smart HE Inverter Ultra Quiet Portable Air Conditioner is here to keep you cool and comfortable no matter where you are! This versatile and efficient air conditioner is a game-changer for anyone looking to beat the heat without breaking the bank.The Midea Duo 14,000 BTU air conditioner is packed with features that make it one of the most advanced portable AC units on the market. With its Smart HE inverter technology, this unit delivers efficient and effective cooling while minimizing energy consumption. This means you can enjoy a refreshing cool breeze without worrying about your energy bill skyrocketing.One of the standout features of this portable AC is its ultra-quiet operation. Thanks to its unique design and powerful motor, the Midea Duo operates at a whisper-quiet sound level, allowing you to enjoy a peaceful and comfortable environment without any distracting noise.Another feature that sets the Midea Duo apart from other portable AC units is its ability to control the temperature and fan speed remotely. With the Midea Air app, you can adjust the temperature, fan speed, and even set a schedule for when you want the AC to turn on and off, all from your smartphone or tablet.The Midea Duo is also incredibly easy to set up and use. The unit comes with all the necessary components, including a window installation kit and a remote control. The installation process is straightforward and takes only a few minutes, so you can start enjoying cool air right away.The Midea Duo 14,000 BTU Smart HE Inverter Ultra Quiet Portable Air Conditioner is a must-have for anyone looking to beat the heat this summer. Its advanced features, energy efficiency, and ultra-quiet operation make it a standout choice among portable AC units. So, if you want to stay cool and comfortable no matter where you are, the Midea Duo is the perfect solution for you!
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Extremely poor wiring. 5 blown GFIs on the circuit and this is what we find
  
",1.0 ,Alexander Wolf,"Reviewed in the United States April 6, 2023","


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     The Midea Duo on the surface seems like a good unit. In fact, maybe it is if not for the extremely poor assembly of the electrical components on the one I received. The unit right out of the box, started blowing GFIs on the circuit. After well over $1000 in Electrician visits and parts replacements, we decided the issue is with the GFI on the unit itself.Opened up and find frayed power conductors - and not enough current carrying capacity because the strands are broken.So put a normal cord on there and got rid of the GFI on it  and wouldn’t you know it it actually functions correctly when the wires are not destroyed in the first place.Not only was this thing, a fire hazard the way it came out of the box, but a complete waste of everyone’s time.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Quiet and efficient
  
",5.0 ,Y. Ren,"Reviewed in the United States April 6, 2023","







  
  
    This unit is great! It is easy to set up and it operates with very low noise. We use it to cool down a far corner room upstairs where our home A/C has problem to cool. It performs flawlessly. Highly recommended.
  
","Color: BlackSize: 12,000 BTU","Color: BlackSize: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Very Opinionated Heat Pump
  
",2.0 ,Amazon Customer,"Reviewed in the United States April 5, 2023","







  
  
    I naturally woke up a bit early this morning and tried to turn up the temp a bit so the room was warm when I got out of bed. Despite the room being 35° and my maxing out the temp and cycling through every mode this thing has for half an hour (with 3 - 10 minute pauses between), when I got out of bed to get ready for work the room was 37°The app is also terrible, all the text is in an Asian language for a good 10 - 15 seconds when you boot it up, it defaults to Celsius and you have to revert it to F EVERY TIME YOU OPEN THE APP, and none of the functions actually work as far as I could tell.Very much not recommended, when it decides it wants to work it's fine (hence the two stars), but I do not trust it to heat or cool my room one bit, and for $700 this is a laughably bad deal.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Absolutely fabulous
  
",5.0 ,Dayna Peterson,"Reviewed in the United States April 1, 2023","







  
  
    Fantastic. Quiet, powerful, easy to use and setup. The adapters could have been a little better, but it's a minor quibble.I am using this in a Florida room in Florida that is typically akin to a greenhouse. There is zero insulation, a metal roof, and the thing was always warm even WITH other AC's running. I decided to try this one - and let me tell you, it's a miracle. The room is icy cold midday with the sun beating down and the temperature outside 96 degrees.It runs quiet, uses less electric than the previous units, and is simple to use and program. I couldn't be happier with it.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Works where others haven’t.
  
",5.0 ,Janet,"Reviewed in the United States April 1, 2023","







  
  
    I live in a top floor condo where the wallsmay as well be made of cloth. The main ac is as old as I am and VERY inefficient. I wanted something to keep the living room bearable during our hellish July, August, & September.Already hitting 86 today so I tried it for the first time. Inside was 77 thanks to a cool night & the temp dropped to 75 before 30 minutes.I have a 10,000 btu single hose portable ac in the bedroom and it drops the temp 2 degrees after running for  hours.I have an open floor plan with master bedroom open and its working to cool off.I’ll update in July and see if this will actually work. If it does I’ll have to buy another for the bedroom.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Nice unit, but poor quality control.
  
",3.0 ,Newforestpath,"Reviewed in the United States March 28, 2023","







  
  
    Overall I am pleased with the unit but it did come damaged from the factory. The outer shell of the unit was cracked on overlapping at the seam. This is only an aesthetic issue but I would expect more from a high-end air conditioner.The unit does operate as described. It both cools and heats well in a quiet and efficient manner.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
