ASIN,CommentsTitle,CommentsStars,CommentsAuthor,CommentsDate,CommentsContent,PurchasemModel_Size,PurchasemModel_Color,页面网址
,"







  
  
    how it looks
  
",5.0 颗星，最多 5 颗星,dragon,评论于 2022年8月11日 在美国 🇺🇸 发布,"







  
  
    it works wonderful its awesome for hot day like today and it make feel like it could snow in my roomi could ramble on and on about it but you should get one and try out to see for yourselfthank for this wonderful ACIf it breaks down ill will buy another one that's hopely is the same or more powerful of the same model.
  
",颜色: 白色尺寸: 6000 BTU,颜色: 白色尺寸: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    So far, so good
  
",4.0 颗星，最多 5 颗星,Daniel Smith,评论于 2022年8月11日 在美国 🇺🇸 发布,"







  
  
    Had it for a little over a month now.  Does absolute wonders for my living space.  Everything works great.  Noise level can be a bit up there but nothing beyond any other typical A/C.  At least, compared to my old one anyway.  The one thing about the noise that gets me is it sounds like the fan scratches against the back of the foam place in the back.  But it usually only occurs while it's particularly cold.  Not sure what's up with that but it fades away.  At the end of the day, so far, still a 5 star product for me.*update*  Remote stopped working.  Reducing to 4 star.
  
",颜色: 白色尺寸: 6000 BTU,颜色: 白色尺寸: 6000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    damaged
  
",4.0 颗星，最多 5 颗星,Frenchie,评论于 2022年8月10日 在美国 🇺🇸 发布,"







  
  
    box looked like it had been dropped, unit was dented on upper corner and works slower than other one i ordered.
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    Works great for me!!
  
",4.0 颗星，最多 5 颗星,nathan myers,评论于 2022年8月10日 在美国 🇺🇸 发布,"







  
  
    I don't know why there's alot of negative reviews about this unit. I use it for my bedroom and keep it on 24/7 and hasn't let me down yet. Works great
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    Wonderful
  
",5.0 颗星，最多 5 颗星,Phyllis Smith,评论于 2022年8月10日 在美国 🇺🇸 发布,"







  
  
    Ii fits my room perfectly.Throws out great air .I'm so satisfied!!
  
",颜色: 白色尺寸: 5000 BTU,颜色: 白色尺寸: 5000 BTU,https://www.amazon.com/Midea-EasyCool-Conditioner-Fan-Cools-Mechanical/product-reviews/B085797ZFF/ref=cm_cr_getr_d_paging_btm_next_20?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=20
,"







  
  
    Broken parts
  
",3.0 ,Michael Heitkamp,"Reviewed in the United States 🇺🇸 April 11, 2023","







  
  
    I unboxed my brand new Midea AC unit a half hour ago and immediately noticed that the side sliding window adapter piece is broken. I haven't even started to install this yet as I'm going to have to glue this together before I can even start to install the unit. So, I can't attest to how the unit works as I can't even use it yet.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Great AC with a terrible DUO hose design
  
",2.0 ,gragus,"Reviewed in the United States 🇺🇸 April 11, 2023","







  
  
    The AC itself is great. But the 2-in-1 hose design is terrible. It does not work for locations where the openings are already there, because they are, naturally, made for 2 separate ""normal"" hoses. For people who want to use their existing wall-with-openings setup, this is a deal-breaker.If there is any way to get or make an adapter from this DUO thingy to 2 normal hoses, please provide a pointer!
  
","Color: BlackSize: 12,000 BTU","Color: BlackSize: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Stay Cool Anywhere, Anytime
  
",3.0 ,Mister Blue Sky,"Reviewed in the United States 🇺🇸 April 7, 2023","







  
  
    Summer can be brutal, especially when you don't have access to air conditioning. But fear not, because the Midea Duo 14,000 BTU Smart HE Inverter Ultra Quiet Portable Air Conditioner is here to keep you cool and comfortable no matter where you are! This versatile and efficient air conditioner is a game-changer for anyone looking to beat the heat without breaking the bank.The Midea Duo 14,000 BTU air conditioner is packed with features that make it one of the most advanced portable AC units on the market. With its Smart HE inverter technology, this unit delivers efficient and effective cooling while minimizing energy consumption. This means you can enjoy a refreshing cool breeze without worrying about your energy bill skyrocketing.One of the standout features of this portable AC is its ultra-quiet operation. Thanks to its unique design and powerful motor, the Midea Duo operates at a whisper-quiet sound level, allowing you to enjoy a peaceful and comfortable environment without any distracting noise.Another feature that sets the Midea Duo apart from other portable AC units is its ability to control the temperature and fan speed remotely. With the Midea Air app, you can adjust the temperature, fan speed, and even set a schedule for when you want the AC to turn on and off, all from your smartphone or tablet.The Midea Duo is also incredibly easy to set up and use. The unit comes with all the necessary components, including a window installation kit and a remote control. The installation process is straightforward and takes only a few minutes, so you can start enjoying cool air right away.The Midea Duo 14,000 BTU Smart HE Inverter Ultra Quiet Portable Air Conditioner is a must-have for anyone looking to beat the heat this summer. Its advanced features, energy efficiency, and ultra-quiet operation make it a standout choice among portable AC units. So, if you want to stay cool and comfortable no matter where you are, the Midea Duo is the perfect solution for you!
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Extremely poor wiring. 5 blown GFIs on the circuit and this is what we find
  
",1.0 ,Alexander Wolf,"Reviewed in the United States 🇺🇸 April 6, 2023","


















    
        

        
        
            
        

        
            
                
                        
                
                
                    The media could not be loaded.
                
            
                
            
            
        
    
    








  
  
     The Midea Duo on the surface seems like a good unit. In fact, maybe it is if not for the extremely poor assembly of the electrical components on the one I received. The unit right out of the box, started blowing GFIs on the circuit. After well over $1000 in Electrician visits and parts replacements, we decided the issue is with the GFI on the unit itself.Opened up and find frayed power conductors - and not enough current carrying capacity because the strands are broken.So put a normal cord on there and got rid of the GFI on it  and wouldn’t you know it it actually functions correctly when the wires are not destroyed in the first place.Not only was this thing, a fire hazard the way it came out of the box, but a complete waste of everyone’s time.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Quiet and efficient
  
",5.0 ,Y. Ren,"Reviewed in the United States 🇺🇸 April 6, 2023","







  
  
    This unit is great! It is easy to set up and it operates with very low noise. We use it to cool down a far corner room upstairs where our home A/C has problem to cool. It performs flawlessly. Highly recommended.
  
","Color: BlackSize: 12,000 BTU","Color: BlackSize: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Very Opinionated Heat Pump
  
",2.0 ,Amazon Customer,"Reviewed in the United States 🇺🇸 April 5, 2023","







  
  
    I naturally woke up a bit early this morning and tried to turn up the temp a bit so the room was warm when I got out of bed. Despite the room being 35° and my maxing out the temp and cycling through every mode this thing has for half an hour (with 3 - 10 minute pauses between), when I got out of bed to get ready for work the room was 37°The app is also terrible, all the text is in an Asian language for a good 10 - 15 seconds when you boot it up, it defaults to Celsius and you have to revert it to F EVERY TIME YOU OPEN THE APP, and none of the functions actually work as far as I could tell.Very much not recommended, when it decides it wants to work it's fine (hence the two stars), but I do not trust it to heat or cool my room one bit, and for $700 this is a laughably bad deal.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Absolutely fabulous
  
",5.0 ,Dayna Peterson,"Reviewed in the United States 🇺🇸 April 1, 2023","







  
  
    Fantastic. Quiet, powerful, easy to use and setup. The adapters could have been a little better, but it's a minor quibble.I am using this in a Florida room in Florida that is typically akin to a greenhouse. There is zero insulation, a metal roof, and the thing was always warm even WITH other AC's running. I decided to try this one - and let me tell you, it's a miracle. The room is icy cold midday with the sun beating down and the temperature outside 96 degrees.It runs quiet, uses less electric than the previous units, and is simple to use and program. I couldn't be happier with it.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Works where others haven’t.
  
",5.0 ,Janet,"Reviewed in the United States 🇺🇸 April 1, 2023","







  
  
    I live in a top floor condo where the wallsmay as well be made of cloth. The main ac is as old as I am and VERY inefficient. I wanted something to keep the living room bearable during our hellish July, August, & September.Already hitting 86 today so I tried it for the first time. Inside was 77 thanks to a cool night & the temp dropped to 75 before 30 minutes.I have a 10,000 btu single hose portable ac in the bedroom and it drops the temp 2 degrees after running for  hours.I have an open floor plan with master bedroom open and its working to cool off.I’ll update in July and see if this will actually work. If it does I’ll have to buy another for the bedroom.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Nice unit, but poor quality control.
  
",3.0 ,Newforestpath,"Reviewed in the United States 🇺🇸 March 28, 2023","







  
  
    Overall I am pleased with the unit but it did come damaged from the factory. The outer shell of the unit was cracked on overlapping at the seam. This is only an aesthetic issue but I would expect more from a high-end air conditioner.The unit does operate as described. It both cools and heats well in a quiet and efficient manner.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    Heats and cools well
  
",5.0 ,Michael Peterson,"Reviewed in the United States 🇺🇸 March 24, 2023","







  
  
    Heat and cool:Both work very well. Heat works best when it is warmer, but will still work when it is cold outside. The manual says that the heat does not work below 40F, but I had it it running at 20F and it worked great. Cool blows out very cold air.Noise:It can get noisy on high but on low, it is very quiet. Unit has an inverter fan and maybe compressor. Fan speed can be ajusted though the app (1%-100% and also low med hi), but on the remote and unit it is only Low Med High. Doesn't bother me too much though. It also has auto speed which I don't know which fan speed selction it uses.Remote:The remote annoys me. Not the thing itself, but how it oporates. When I cahange a setting on the remote, everything is fine. But when I change a setting on the unit, it does not change on the remote. This is very anoying because then I have to go through all the fan speeds or cylcle power on the remote ans hopefuly not short cylcle the unit. Other than that, the remote is great.Overall:Overall the unit was worth 700$. It keeps me warm and cool and has good controls. Does not make water very often, which is nice. Other than the remote, the unit is great.
  
","Color: BlackSize: 14,000 BTU with Heat","Color: BlackSize: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_viewopt_srt?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=1
,"







  
  
    This company is a rip off!!!  DO NOT BUY FROM THEM!!!!!!!!! Buyer Beware...
  
",1.0 颗星，最多 5 颗星,R. Ide,评论于 2023年3月24日 在美国 🇺🇸 发布,"







  
  
    I would NEVER ever purchase a Midea product again!!!  I purchased one of their products from Walmart, paid the price for a NEW appliance...  What I received is a used product with missing parts....  Walmart was not helpful and Midea would not help me either...What a POS company....  Caveat Emptor... Latin phrase for ""Let the Buyer Beware"". Do your research and spend your hard earned money elsewhere...
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Great
  
",5.0 颗星，最多 5 颗星,Steve Hohl,评论于 2023年3月22日 在美国 🇺🇸 发布,"







  
  
    Not too loud and does exactly what it's supposed to do.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Its cooling is good for summer use
  
",5.0 颗星，最多 5 颗星,Ahmed,评论于 2023年3月19日 在美国 🇺🇸 发布,"







  
  
    Its cooling is good for summer use
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    The unit will stop operating approximately one year after working flawlessly.
  
",1.0 颗星，最多 5 颗星,Dannial Hayes,评论于 2023年3月19日 在美国 🇺🇸 发布,"







  
  
    Was able to make our money back using this heat pump. But not a whole lot.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    THIS LITTLE BUGGER DEHUMIDIFIES WONDERFULLY
  
",5.0 颗星，最多 5 颗星,SOCRATES,评论于 2023年3月19日 在美国 🇺🇸 发布,"







  
  
    This unit is compact, has wheels, a nice strong cord and plug-in, and is powerful for its size. It cools a normal-sized room quickly (with a window exhaust), and it dehumidifies a normal-sized room quickly as well. The best part is, unlike most models, this one does NOT need a window vent to dehumidify. It has a water release nozzle on the very bottom, making releasing water captured out of the air in your room very easy to empty. You do NOT have to empty the water with each used, but only after it builds up in the catch basin. Overall, this is great unit. It is heavy, so the wheels come in handy. If you have carpeting, sorry, but it will be hard to wheel around. If you have flat hard-surface floors you are in luck.
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Perfect
  
",5.0 颗星，最多 5 颗星,Amazon Customer,评论于 2023年3月17日 在美国 🇺🇸 发布,"







  
  
    Cools 500sqft apartment down and stays cool
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Doesn't last
  
",2.0 颗星，最多 5 颗星,Barbara,评论于 2023年3月11日 在美国 🇺🇸 发布,"







  
  
    Midea does not offer good support, Warranty is a joke. Unit functioned OK for a while, but even towards the end of the first season of use, performance began to drop off. Questionable build quality means broken parts are inevitable. Company refused to replace my parts that broke while under warranty. Just a warning from my experience
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    It Lasted 2 days
  
",1.0 颗星，最多 5 颗星,Sloppy McFloppy,评论于 2023年3月3日 在美国 🇺🇸 发布,"







  
  
    First off the item arrived in a box beat up and old covered in dust. No bottom to the box just the styrofoam bottom and everything held together with shipping straps. Which meant when it came time to return it, I had no way to seal it. So I had to stuff everything into a wardrobe box and use a half a roll of tape because this thing is heavy.So just be aware that should you have to return this item, you better have your own box ready. Unless I just got some random piece of inventory that they did this too.The first two nights it worked very well. It cooled off our bedroom and it ran all night. The next night I woke up in the morning and it was no longer blowing air. The fan had turned off. I cycled the power and it started running again only to cut off a few hours later. The power stayed on but the fan stopped blowing air. The duration by which this thing would stay on would get smaller and smaller. To the point that by day four, it would only stay on for about 10 minutes before cycling off. It was not set to timer nor was it set to auto. It was set to high fan and cool with the timer off. I would have loved for this thing to work because it did cool off our room for the two days that it actually worked. But man what a complete pain in the butt it was to try to return this thing.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Heater doesn't work if it's cold outside
  
",2.0 颗星，最多 5 颗星,Josh,评论于 2023年3月2日 在美国 🇺🇸 发布,"







  
  
    Haven't gotten to test the cooling function but I bought it because it's supposed to heat the room. The heat function blows semi warm air and will get a room to somewhat warm but stops functioning if it gets below 40°f which kinda defeats the purpose of buying such an expensive product. Beyond that, it's a gorgeous unit and the remote and app functionality are cool but the mounting equipment are to be desired and don't stay put very well. Ultimately I'll be returning it for a refund because not heating the room is a deal breaker
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Great product but terrible support and its assembly is not good for self repair.
  
",2.0 颗星，最多 5 颗星,Axellogic,评论于 2023年2月28日 在美国 🇺🇸 发布,"







  
  
    This machine works great, but I live in a humid environment and the water tray is very small. It builds up sludge very quickly due to this and there is no way to access the water tray to fix the issue.  If you remove the exhaust hose you can maybe drop a tablet in there if you have good aim, but its very difficult and did not resolve my issue. As such about once a month I have to go outside and backwash the drain hole with water to attempt to dislodge and break up the sludge. This is sadly only temporary and very time consuming. I attempted to contact their support but they refused to help me at all and constantly asked for irrelevant information that I still supplied until eventually ignoring my request for support stating I had no warranty.I have attempted to resolve the issue myself by disassembling the unit but even with 100% of all screws removed it is still attached in multiple ways that are not intuitive or known, the last thing I want to do is break the device.So the rating is greatly lowered due to inability to resolve this issue and complete lack of support.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=2
,"







  
  
    Awesome Portable AC/Heater!
  
",5.0 颗星，最多 5 颗星,js,评论于 2023年2月25日 在美国 🇺🇸 发布,"







  
  
    I bought this because I live in a rental in Texas which is a very old and poorly insulated house. We do have central air but it costs a fortune to run and struggles with the Texas heat. The Midea is for a bedroom that's only about 300 square foot, which sounds like overkill but my old 10k BTU Black and Decker had trouble cooling to 80 on our 100 degree + days. This unit should also be cheaper to run since it's much more energy efficient.I really wanted the extra BTUs for cooling more than I wanted the heater but I'm already making use of it thanks to a brief late February cold snap.  I had accidentally set it to automatic mode while setting it up and very quickly realized it had warmed my room up, now I'm really glad I got the Duo. Before when we would have big temperature swings at night I'd have to go to sleep with the AC set to 72 and a space heater set to 66, otherwise I'd either go to bed sweating or wake up freezing. Now I've got one unit that keeps my room at 72 all night despite the wild temperature swings outside.As far as noise goes The Midea has a much more powerful fan so naturally, that is louder but it's compressor is actually much quieter than the Black and Decker.. no more loud buzzing when the AC kicks on.I'll try to update this review once we start getting 100-degree weather and I see how it handles Texas summers.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Piece of junk
  
",1.0 颗星，最多 5 颗星,jeff h,评论于 2023年2月25日 在美国 🇺🇸 发布,"







  
  
    Three days after I received it I woke up to a 67⁰ F room when it was set to 75⁰ F. Turned temperature up, it would blow Luke warm air for about 2 minutes, then blow cold air and turn off. This is total junk. And its one of the higher priced ones on Amazon.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Window adapter broke within months, Midea customer service never responded
  
",2.0 颗星，最多 5 颗星,Tyler Shellberg,评论于 2023年2月25日 在美国 🇺🇸 发布,"







  
  
    It worked great, until one of the plastic clips holding the vertical-to-horizontal window adapter broke.I tried asking for help on their customer service over a year ago, and never got a response.I tried just finding the part # so I could buy it myself, but the manual doesn't actually say what the part numbers are for it.The website has no pictures for the vast majority (90%+) of the parts. None of the names matched what I need.I went to an authorized third party reseller of Midea parts, it took 6+ months to get here, and they ended up sending me the wrong part so I'm out $40 and my AC is still useless.
  
","颜色: 黑色//白色尺寸: 14,000 BTU","颜色: 黑色//白色尺寸: 14,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    I love mine, and it's pleasantly quiet, despite where I have it placed.
  
",5.0 颗星，最多 5 颗星,Sean Roach,评论于 2023年2月22日 在美国 🇺🇸 发布,"







  
  
    I can't speak to the power consumption, as I haven't put it on a kill-a-watt, but I love mine.Like most heat pumps, it DOES lose efficiency in cold weather, but it can turn a brisk day warm, or a hot day cool. And, yes, as far as I can tell, it IS a ""Heat Pump"", not a mere AC with integrated heater coils.The remote works great, even with the unit elevated.I have mine SITTING ON TOP OF A CLOTHES DRYER, and even sitting on what is basically a hollow steel resonance chamber, I don't get any extra vibration noise from it. (It's heavy, so I don't recommend doing this by yourself. Or doing it at all.)
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    The company that cells this AC does not back it up.
  
",2.0 颗星，最多 5 颗星,j2d2gf,评论于 2023年2月4日 在美国 🇺🇸 发布,"







  
  
    I am late with this review so my apologies.  I wanted to see how it turned out.  Out of the box it worked fine, a few weeks later it stopped working.  The service department gave me a few things to try, none of the suggestions worked so we agreed to refund the purchase price and they did not want to pay for shipping it back.  The refund never arrived.  So I had a local AC shop look at it.  A simple fix but it cost $150.  Also it was supposed to be a heat pump.  It's not.  I do not recommend it just because the company does not back it up.  Count on having to pay someone to fix it, so add $150 for repairs.  Also do not expect a heat pump.  After all that and paying someone to fix it, it has performed well as an AC since them and it works with Alex most of the time.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Saves Me In The Summer!
  
",5.0 颗星，最多 5 颗星,Daniel D.,评论于 2023年1月26日 在美国 🇺🇸 发布,"







  
  
    Where I live, only brand new houses have air conditioning in them and it has started to get really hot in the summers.  I bought this to put in my bedroom and help cool it down and it does a great job!  It's a little loud of course, but its not terrible.  Also its really nice to have the ability to somewhat put it where ever I want instead of have to make sure the window isn’t blocked by anything.  I would definitely recommend it for anyone to cool down one particular room!
  
","颜色: 白色尺寸: 8,000 BTU","颜色: 白色尺寸: 8,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Excellent customer service!
  
",5.0 颗星，最多 5 颗星,Jen,评论于 2023年1月24日 在美国 🇺🇸 发布,"







  
  
    This unit is sturdy, powerful, and quiet.  Set up was easy and the large sheets of adhesive foam made a good seal, and looked from inside and outside.  The app is great and allows for remote controlling and scheduling!  It didn't make it through the whole summer so I contacted customer support and sent the error codes from the app.  They were very eager to assist  and quick to uphold the warranty without any push back or surprises.  I also have a different midea ac which is a beast... I think I just got a dud for this one.  Overall the workmanship is good and I am a happy customer.  The only feedback would be to allow the fan setting to vent outside air in for those cool nights.  Would purchase again.
  
","颜色: 黑色//白色尺寸: 12,000 BTU","颜色: 黑色//白色尺寸: 12,000 BTU",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
,"







  
  
    Not for winter in Maine
  
",2.0 颗星，最多 5 颗星,Fabrice Laine,评论于 2023年1月22日 在美国 🇺🇸 发布,"







  
  
    This product might be good for summer.But so far I bought it for winter.Big issue, when the outdoor Temperature is below 5 C, it stop working.I have been reimbursed, so so far so good.But useless for me.
  
","颜色: 黑色//白色尺寸: 14,000 BTU with Heat","颜色: 黑色//白色尺寸: 14,000 BTU with Heat",https://www.amazon.com/MAP08R1CWT-Portable-Conditioner-Dehumidifier-control/product-reviews/B087CQVC9G/ref=cm_cr_getr_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&sortBy=recent&pageNumber=3
